label,category,cluster,dm,text,id,seq_len,hfer_25
1,mhs_radical,1,4.5917898545326485,,,1,0.44841647148132324
1,mhs_radical,0,11.45713863576951,,,1,0.07096035778522491
1,mhs_radical,0,14.224181215494987,,,1,0.09549948573112488
1,mhs_radical,1,7.177298882473171,,,1,0.44544515013694763
1,mhs_radical,1,5.410790651907207,,,1,0.45463111996650696
1,mhs_radical,1,5.754407302582858,,,1,0.44492802023887634
1,mhs_radical,1,7.392004886887479,,,1,0.46619874238967896
1,mhs_radical,1,7.374610915111964,,,1,0.46743813157081604
1,mhs_radical,0,12.136096033367098,,,1,0.07969272136688232
1,mhs_radical,0,12.63008268532478,,,1,0.05500967055559158
1,mhs_radical,0,15.209548280062645,,,1,0.09348950535058975
1,mhs_radical,1,5.9841584494444655,,,1,0.4476426839828491
1,mhs_radical,0,10.221008365258145,,,1,0.057454876601696014
